title,description,type,style,color,url,image
Target Women's Grey Joggers-tracksuits,Grey sweatpants with pockets,bottom,npc,grey,https://www.depop.com/products/sherbet3-grey-sweatpants-with-pockets-grey/,https://media-photos.depop.com/b1/34839918/2937246929_0f1c5398e55647dabe52223edd14f0fa/P0.jpg
Women's Black Dress,Black lace trim maxi slip dress with V-neck,dress,goth,black,https://www.depop.com/products/mirca26-black-lace-trim-maxi-slip/,https://media-photos.depop.com/b1/22876805/2919622011_7725168f32ff47318de139e6eb0edaf6/P0.jpg
Women's Multi Dress,Pendleton forest green plaid sleeveless mod dress,dress,twee,blue,https://www.depop.com/products/righteousbutcher-pendleton-forest-green-plaid-sleeveless/,https://media-photos.depop.com/b1/2009219/2798589260_8805ea578cbc4063b1db443a5543846b/P0.jpg
Women's Brown Dress,y2k halter mini dress made in the usa,dress,y2k,brown,https://www.depop.com/products/magduhhlene-y2k-halter-mini-dress-made/,https://media-photos.depop.com/b1/39984822/2949358408_cf439babff094fc98e5d424560ab1dfe/P0.jpg
Women's Green Dress,Green sequence prom dress,dress,glam,green,https://www.depop.com/products/jinwooldridge-green-sequence-prom-dress-no-ac6b/,https://media-photos.depop.com/b1/42851788/repop_31447769_1659539726/2942762622_6fbb5480e9a64ba59f0f676cc0078b5b/P0.jpg
Women's Black and White Dress,Joan Leslie black and white dress,dress,academia,grey,https://www.depop.com/products/thriftedbyclou-joan-leslie-black-and-white/,https://media-photos.depop.com/b1/299683134/2881469930_8fdd0b2454c64b8d9f40e7c8f8831cde/P0.jpg
Women's Black Dress,Black American Eagle mini dress,dress,npc,black,https://www.depop.com/products/maddisonbarton-black-american-eagle-mini-dress/,https://media-photos.depop.com/b1/30448179/2920374918_af52f85192614e809af548153e30c7c4/P0.jpg
Women's Black and Silver Footwear,V-creeper platform black buckle shoes,shoes,goth,black,https://www.depop.com/products/larasthrftyclst-demonia-v-creeper-platform-black-buckle/,https://media-photos.depop.com/b1/48148051/2910747106_9cc427e35cf64b91b97d662372ce092d/P0.jpg
Women's Brown Loafers,Women leather brown mary janes,shoes,twee,brown,https://www.depop.com/products/princesspeachee-women-leather-brown-mary-janes/,https://media-photos.depop.com/b1/18464973/repop_226962879_2468547060/2939977297_97cdcbd5d0594283bdc030c54f152514/P0.jpg
Converse Women's multi Trainers,Super cute y2k Plaid Slip on Converse sneakers,shoes,y2k,blue,https://www.depop.com/products/hotklozet-super-cute-y2k-plaid-slip/,https://media-photos.depop.com/b1/26649022/2947903786_6a454ffa0a3e4aea9eda2a96df6bc390/P0.jpg
Women's White Courts,Fashion Nova white braided sandal pump,shoes,glam,white,https://www.depop.com/products/meeplemupple-fashion-nova-white-braided-sandal/,https://media-photos.depop.com/b1/400009700/2934896509_1d14548f019743d4a6cba7b3eee80b06/P0.jpg
Women's Brown Loafers,Brown leather loafers with tassel detail,shoes,academia,brown,https://www.depop.com/products/shopeternity-brown-leather-loafers-with-tassel/,https://media-photos.depop.com/b1/47054622/2891263357_3e803a1c3870433985e7b669af13394e/P0.jpg
Nike Women's White Trainers,White Nike Air Force 1 trainers,shoes,npc,white,https://www.depop.com/products/1teaspoonofsugar-white-nike-air-force-1/,https://media-photos.depop.com/b1/392606576/2930310893_781cae8ee4d7411c8a0d4d92cd180799/P0.jpg
Moth Skull Pendant,New moth skull pendant necklace on black cord,jewelry,goth,black,https://www.depop.com/products/vtgjewelry-new-moth-skull-pendant-necklace-e94f/,https://media-photos.depop.com/b1/41458019/2936726921_c1d84e2e537443aa81f79097d46b5668/P0.jpg
Fairy Locket,Fairy locket with handmade doll part,jewelry,twee,white,https://www.depop.com/products/odddoll-fairy-locket-handmade-doll-part/,https://media-photos.depop.com/b1/40065300/2730682613_97d4c780c9fb4134b0a54f805902223a/P0.jpg
Silver Necklace,Silver swirl necklace,jewelry,y2k,silver,https://www.depop.com/products/elitasjewelry-silver-swirl-necklace-gothic-unisex/,https://media-photos.depop.com/b1/376133135/2927139229_a22dab3951b6464e930271ab56fe3809/P0.jpg
Gold Bracelet,Thin Gold snake chain bracelet,jewelry,glam,gold,https://www.depop.com/products/kellyssbs-thin-gold-snake-chain-bracelet-bf17/,https://media-photos.depop.com/b1/11159598/2936524837_b20d2d4f83a24407b755942500916b0c/P0.jpg
Lady Frame Necklace,Black and white cameo in a silver filigree frame,jewelry,academia,silver,https://www.depop.com/products/shopjuliananyc-lady-in-the-window/,https://media-photos.depop.com/b1/10870171/2263787095_777e17c799fb49be831751fa99723c89/P0.jpg
Gold Chain,Plain dark gold chain barley worn,jewelry,npc,gold,https://www.depop.com/products/brinsidez-plain-dark-gold-chain-barley/,https://media-photos.depop.com/b1/230166893/2924878520_75e3f37ee10d4f3783ece10cba4d79f2/P0.jpg
Cross Body Bag,Black and white cross bag with a touch of grunge and goth style,accessory,goth,black,https://www.depop.com/products/coveyscloset-black-and-white-cross-bag/,https://media-photos.depop.com/b1/35338648/2942675413_6c1c9ff605bb4058a72239558f59e9d1/P0.jpg
Brown Bag,Brown rainbow button mini micro bag,accessory,twee,brown,https://www.depop.com/products/love_light-y2k-gyaru-twee-brown-rainbow/,https://media-photos.depop.com/b1/344512507/2905614830_70ea23888e704e538803608908514037/P0.jpg
Green Shoulder Bag,Green leather shoulder bag with buckle detail,accessory,y2k,green,https://www.depop.com/products/devoak-green-leather-shoulder-bag-with/,https://media-photos.depop.com/b1/42657040/2949677952_a6cc74b3d5ef41a9903b73d1bcaf56c7/P0.jpg
Gold Beaded Bag,Gold and cream beaded clutch bag,accessory,glam,gold,https://www.depop.com/products/kcwilcox422-gold-and-cream-beaded-clutch/,https://media-photos.depop.com/b1/234666398/2933561961_b007f75558d64ecbbbdaf2c2c92989f3/P0.jpg
Brown Satchel Bag,Brown leather satchel bag with multiple pockets,accessory,academia,brown,https://www.depop.com/products/angelinwardrobe-brown-leather-satchel-bag-with/,https://media-photos.depop.com/b1/50336913/2837009459_16fb7c1b5a73438098c7ce9507453c24/P0.jpg
Black Backpack,Black Jansport Backpack,accessory,npc,black,https://www.depop.com/products/nicksrandomcloset-black-jansport-backpack-used/,https://media-photos.depop.com/b1/51761262/2952622747_2840914c07094874b12faab577294ac4/P0.jpg
